Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
2.5,2.624671916,5,0.98,0.0904,7,2.13,1,0,0,0,0,0,1,1,0,Kathmandu
2.5,2.624671916,5,0.98,0.0904,7,2.13,1,0,0,0,0,0,1,1,0,Kathmandu
1.75,1.312335958,20,4.53125,0.0987,3.498823529,4.25,0,0,1,0,0,0,1,0,1,Lalitpur
4,2.952755906,5,2.9,0.067,47.5,0.3125,1,0,0,0,0,1,0,0,1,Lalitpur
1.083333333,3.937007874,7,1,0.0987,3.995263069,3.694375,1,0,0,0,0,0,1,1,0,Kathmandu
0.916666667,0.984251969,10,0.32,0.0831,3.997962994,3.681875,0,0,1,0,0,0,1,1,0,Kathmandu
1.916666667,7.532808399,5,6.75,0.0987,6.989598811,2.103125,0,1,0,0,0,0,1,1,0,Kathmandu
4.5,4.593175853,10,1.5,0.067,1.5,9.6875,1,0,0,0,0,0,1,1,0,Kathmandu
4.916666667,4.593175853,7,2.8,0.093,6,2.41,1,0,0,0,0,0,1,0,0,Bhaktapur
2.416666667,6.456692913,10,1.5,0.0904,5,2.83,0,0,0,1,0,0,1,1,0,Kathmandu
2,3.937007874,5,3,0.0904,7.81,1.81,1,0,0,0,0,0,1,1,0,Kathmandu
1.083333333,3.937007874,2.5,1,0.0987,3.75,3.75,1,0,0,0,0,0,1,1,0,Kathmandu
4.166666667,4.304461942,2,3,0.093,7,2,1,0,0,0,0,0,1,1,0,Kathmandu
2.166666667,3.937007874,1.05,0.5,0.0904,3.5,4,1,0,0,0,0,0,1,0,1,Lalitpur
2.666666667,4.304461942,20,0.45,0.0904,2,7,0,0,1,0,0,0,1,0,0,Bhaktapur
2.333333333,6.456692913,1,1.44,0.0904,3.75,3.72,0,1,0,0,0,0,1,1,0,Kathmandu
2.25,1.312335958,10,0.6,0.0904,3.5,3.97,0,0,1,0,0,0,1,1,0,Kathmandu
1.5,3.280839895,0,1.6,0.0987,5.5,2.52,1,0,0,0,0,0,1,1,0,Kathmandu
2.833333333,1.312335958,5,1.5,0.0904,5.5,2.5,0,0,1,0,0,0,1,1,0,Kathmandu
4.25,3.937007874,1,1,0.067,5.5,2.5,1,0,0,0,0,0,1,1,0,Kathmandu
3.666666667,1.312335958,7,3,0.0721,5,2.75,0,0,1,0,0,0,1,1,0,Kathmandu
3.833333333,3.280839895,2.6,2.25,0.067,5,2.75,1,0,0,0,0,1,0,1,0,Kathmandu
1.416666667,2.624671916,0.3,2.1,0.0987,5.5,2.5,1,0,0,0,0,0,1,1,0,Kathmandu
2.083333333,3.937007874,10,1.92,0.0904,5.5,2.5,1,0,0,0,0,0,1,1,0,Kathmandu
2.25,4.304461942,7,1.25,0.0904,5.25,2.61,1,0,0,0,0,0,1,0,0,Bhaktapur
1.833333333,3.937007874,,1,0.0987,4.757417103,2.865,1,0,0,0,0,0,1,1,0,Kathmandu
3.083333333,2.624671916,15,3,0.0721,5,2.72,1,0,0,0,0,0,1,1,0,Kathmandu
2.25,4.304461942,15,0.64,0.0904,4.25,3.2,1,0,0,0,0,0,1,1,0,Kathmandu
1.25,1.312335958,2,0.2,0.0987,0.8,16.9,0,0,1,0,0,0,1,0,0,Bhaktapur
2.416666667,3.937007874,5,2.1,0.0904,6,2.25,1,0,0,0,0,1,0,1,0,Kathmandu
3.583333333,3.280839895,2,1.5,0.0721,5,2.7,1,0,0,0,0,0,1,1,0,Kathmandu
4.083333333,4.304461942,20,1.1,0.093,4.5,3,1,0,0,0,0,0,1,0,1,Lalitpur
4.166666667,1.312335958,5,2.25,0.093,6,2.23,1,0,0,0,0,0,1,1,0,Kathmandu
0.666666667,3.280839895,0.75,1,0.0831,3.50343924,3.81625,1,0,0,0,0,0,1,1,0,Kathmandu
1.333333333,1.312335958,2,2.45,0.0987,5.507082153,2.426875,0,0,1,0,0,0,1,1,0,Kathmandu
1.166666667,3.280839895,10,1.25,0.0987,4.997660271,2.67125,1,0,0,0,0,0,1,0,0,Bhaktapur
1.75,2.624671916,5,2.1,0.0987,3.746548673,3.53125,1,0,0,0,0,0,1,1,0,Kathmandu
4.416666667,2.624671916,1.05,1.5,0.093,4,3.25,0,0,1,0,0,0,1,1,0,Kathmandu
